incident_id,date_reported,app_name,client_name,impacted_clients,reported_by,ttd,ttk,ttm,ttc,rca_summary,rca_tags,team_owning,severity,category,incident_type
61ec7ed0-169f-42d7-b7fb-c620bc4ac9b2,2025-01-31 15:46:00,App18,Client4,"Client9, Client10",client,18,3,67,189,Intermittent issue caused by network timeout in auth layer layer.,"Network, Config, Disk",Team6,0,Integration,Misconfiguration
c99c44c4-14dc-48d0-838e-d1423a894097,2025-02-22 19:10:00,App25,Client9,"Client2, Client9, Client1",client,15,29,17,106,Service network timeout faced backend during operation.,"Session, Cache, Latency",Team5,3,Network,Memory Leak
2c97719e-300d-454e-8175-f5a5a703b40f,2025-05-12 04:40:00,App16,Client8,Client3,client,58,3,18,98,bad config threshold exceeded in backend.,"DB, Session, Latency",Team15,3,Infra,Memory Leak
ece906d8-14b1-4ed5-b1dc-e02280df1498,2025-05-14 22:02:00,App30,Client10,"Client8, Client9, Client5",client,25,22,88,33,Service cache eviction faced database during operation.,"DB, OAuth, Latency",Team14,3,Application,Deployment Issue
bc67ea95-848c-47eb-94f1-b0ec4026ee54,2025-05-24 04:37:00,App25,Client2,"Client1, Client9",client,26,19,38,59,Database node crashed due to bad config in frontend.,"DB, API, Latency",Team12,0,Application,Deployment Issue
7724fe67-6165-4522-9019-89e4aad318e7,2025-04-19 08:47:00,App11,Client6,"Client2, Client3",client,47,5,18,282,Service cache eviction faced database during operation.,"DB, Cache, Disk",Team2,0,Integration,Misconfiguration
20045aa8-b743-4a5c-b9d0-0ddcad01d217,2025-04-01 12:35:00,App4,Client7,"Client4, Client8",client,23,20,6,145,cache eviction threshold exceeded in auth layer.,"DB, Disk, Cache",Team7,2,Integration,Deployment Issue
953149f5-06fd-4f1d-9223-757a69dbf8d2,2025-03-24 15:50:00,App23,Client5,"Client8, Client6, Client3",client,20,7,62,218,Intermittent issue caused by network timeout in database layer.,"Latency, Network, Disk",Team11,1,Infra,Memory Leak
db8dc18c-08a6-4dbf-871f-9dde2b0dea0e,2025-03-10 03:14:00,App8,Client1,"Client4, Client2",client,55,26,65,82,high I/O failure impacted multiple clients in reporting module module.,"API, Config, Latency",Team8,1,Application,DNS Failure
a074ffde-f175-4690-972d-fd2327075994,2025-04-11 08:30:00,App18,Client1,"Client5, Client4, Client2, Client1",client,48,21,58,165,latency spikes threshold exceeded in API gateway.,"Session, Latency, Cache",Team9,3,Infra,Misconfiguration
8114705c-ac60-4984-9e73-faf9873f6914,2025-05-27 12:06:00,App26,Client6,"Client9, Client8",client,17,22,69,227,Intermittent issue caused by network timeout in database layer.,"DB, API, Disk",Team4,3,Integration,Third-party API Change
95a1aaae-d68a-4817-a6c2-66b8928e3b9f,2025-03-31 23:27:00,App20,Client6,"Client8, Client3, Client10",client,50,22,68,180,Deployment caused missing patch in backend.,"Session, Disk, OAuth",Team2,0,Application,Cache Inconsistency
e7e99a35-f3b3-4c39-931d-de9d01e6b5d1,2025-03-27 13:42:00,App12,Client6,Client7,client,29,18,47,48,Intermittent issue caused by cache eviction in frontend layer.,"API, DB, Cache",Team7,1,Security,Third-party API Change
6fae4a87-ef47-42f7-ab15-c67c7dd7f429,2025-04-25 21:25:00,App12,Client3,"Client3, Client8, Client7, Client4",client,58,8,23,243,Intermittent issue caused by high I/O in backend layer.,"Config, DB, Cache",Team14,2,Network,Misconfiguration
efed8713-ed65-404d-9371-6f376172cfc9,2025-03-17 19:04:00,App23,Client1,Client2,client,43,30,41,85,latency spikes failure impacted multiple clients in database module.,"Network, Disk, Latency",Team9,1,Integration,Misconfiguration
79d20838-d372-4abc-aa7e-de6f00f2ff64,2025-01-07 05:08:00,App28,Client6,"Client9, Client5",client,49,14,49,280,Database node crashed due to latency spikes in reporting module.,"Disk, DB, OAuth",Team6,3,Security,Storage Failure
4eefd9c0-c49d-4419-b834-37af3ce4bfc5,2025-02-19 03:16:00,App24,Client5,"Client3, Client5",client,58,28,72,246,high I/O failure impacted multiple clients in backend module.,"API, OAuth, DB",Team2,0,Application,DNS Failure
0fb5a397-ad26-493e-9cfd-8fb0e433eef1,2025-03-31 11:30:00,App24,Client5,"Client4, Client7",client,19,19,42,291,high I/O threshold exceeded in frontend.,"Disk, Cache, API",Team6,1,Infra,Session Handling Error
